Date	Open	High	Low	Close	Volume	Adj Close
7/20/2015	39.98	39.98	39.259998	39.540001	13909400	39.540001
7/17/2015	39.189999	39.790001	38.93	39.68	14421500	39.68
7/16/2015	38.700001	38.959999	38.599998	38.91	8406900	38.91
7/15/2015	38.509998	38.799999	38.150002	38.380001	9123300	38.380001
7/14/2015	38.650002	39.029999	38.439999	38.630001	9464500	38.630001
7/13/2015	38.25	38.799999	38.099998	38.759998	8665000	38.759998
7/10/2015	38.349998	38.419998	37.779999	37.919998	9559100	37.919998
7/9/2015	38.23	38.68	37.52	37.610001	16871200	37.610001
7/8/2015	37.200001	37.490002	36.939999	37.23	20430200	37.23
7/7/2015	38.240002	38.380001	36.580002	38.23	19424200	38.23
7/6/2015	38.759998	39.119999	38.459999	38.610001	11761500	38.610001
7/2/2015	39.259998	39.639999	39.189999	39.380001	7708100	39.380001
7/1/2015	39.459999	39.779999	39.150002	39.330002	6385000	39.330002
6/30/2015	39.389999	39.650002	39.189999	39.290001	11170200	39.290001
6/29/2015	39.490002	39.779999	38.849998	38.91	12452700	38.91
6/26/2015	40.830002	40.869999	39.93	40.060001	16011600	40.060001
6/25/2015	41.099998	41.389999	40.900002	41.07	10764100	41.07
6/24/2015	40.68	41.23	40.580002	40.939999	11444300	40.939999
6/23/2015	40.740002	40.799999	40.509998	40.650002	6846300	40.650002
6/22/2015	40.66	40.889999	40.540001	40.73	6127200	40.73
6/19/2015	40.900002	40.93	40.369999	40.509998	11586600	40.509998
6/18/2015	41.040001	41.27	40.790001	40.91	10003000	40.91
6/17/2015	40.799999	41.52	40.779999	40.959999	11936400	40.959999
6/16/2015	40.349998	41.400002	40.02	40.639999	20439700	40.639999
6/15/2015	40.240002	40.669998	40.209999	40.470001	10869500	40.470001
6/12/2015	40.77	41.110001	40.459999	40.529999	9220600	40.529999
6/11/2015	42.09	42.209999	40.549999	40.939999	23654400	40.939999
6/10/2015	41.700001	42.310001	41.689999	42.060001	7930000	42.060001
6/9/2015	41.919998	41.950001	41.02	41.630001	11943500	41.630001
6/8/2015	42.720001	42.889999	42	42.009998	7596300	42.009998
6/5/2015	42.830002	43.259998	42.700001	42.810001	8307600	42.810001
6/4/2015	43.09	43.439999	42.759998	42.880001	8055400	42.880001
6/3/2015	43.299999	43.779999	42.98	43.209999	11884100	43.209999
6/2/2015	43.18	43.619999	42.919998	43.150002	8863900	43.150002
6/1/2015	43.049999	43.630001	42.91	43.349998	11150700	43.349998
5/29/2015	43.450001	43.59	42.810001	42.939999	10901500	42.939999
5/28/2015	43.060001	43.419998	42.93	43.07	10988400	43.07
5/27/2015	42.599998	43.439999	42.279999	43.380001	13671900	43.380001
5/26/2015	43.41	43.5	42.580002	42.849998	12776200	42.849998
5/22/2015	43.580002	44	43.470001	43.490002	10271700	43.490002
5/21/2015	43.060001	43.869999	43.049999	43.68	30372300	43.68
5/20/2015	42.279999	43.040001	42.16	42.790001	54383700	42.790001
